title,link,author,journal,website,abstract,referenced
"Curie-temperature enhancement of electron-doped
perovskites studied by photoemission spectroscopy",https://link.aps.org/doi/10.1103/PhysRevB.69.115101,"J Navarro, J Fontcuberta, M Izquierdo, J Avila…","Physical Review B, 2004",APS,"… strength diminishes as the Curie temperature TC increases up to room temperature, thus
making it difficult … well above room temperature, the recent finding of roomtemperature tunneling …",68
Studies of Curie‐Point Increases in,https://aip.scitation.org/doi/abs/10.1063/1.2163533,"MW Shafer, TR McGuire","Journal of Applied Physics, 1968",aip.scitation.org,"… an increase in its Curie temperature. Further, the … Curie temperature above the normal
value of 69.5K. In order to study the chemical factors which may influence the Curie temperature …",97
The Curie temperature of the Ising ferromagnet with higher-order exchange interaction,https://iopscience.iop.org/article/10.1088/0022-3719/17/5/015/meta,"T Iwashita, N Uryu","Journal of Physics C: Solid State Physics, 1984",iopscience.iop.org,"… sk ) on the Curie temperature of the two-dimensional quadratic Ising ferromagnet of spin …
s,)(s, ' sk ) is shown to give a more significant effect on the Curie temperature than the …",45
"Magnetization, Curie temperature, and magnetic anisotropy of strained (111) Ni/Au superlattices",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.45.2855,"JR Childress, CL Chien, AF Jankowski","Physical Review B, 1992",APS,"… with d Ni, while the decrease in Curie temperature TC follows a power law. Superlattices … ,
and lower magnetic anisotropy than ones grown at room temperature. In both cases, an abrupt …",47
PyTherNal: A python program for analyzing curie temperature from thermomagnetic data,https://iopscience.iop.org/article/10.1088/1742-6596/2309/1/012035/meta,"GB Nanlohy, GG Yosia, C Salim…","Journal of Physics …, 2022",iopscience.iop.org,"… Under this parameter, the estimation of Curie temperature resulted in which the Curie
temperature for cooling is the same as the Curie temperature for heating which is obtained at 459 K…",2
Characterization of epitaxial LSMO thin films with high Curie temperature prepared on different substrates,https://www.sciencedirect.com/science/article/pii/S0042207X16300094,"M Španková, V Štrbík, E Dobročka, Š Chromik…","Vacuum, 2016",Elsevier,"… We studied the influence of strain on Curie temperature T C as well as temperature of
metal-… -induced strain reduced the Curie temperature as well as temperature of metal-insulator …",24
Effects of Bi2O3 and Yb2O3 on the Curie Temperature in BaTiO3‐Based Ceramics,https://ceramics.onlinelibrary.wiley.com/doi/abs/10.1111/j.1551-2916.2010.03633.x,"G Yao, X Wang, Y Yang, L Li","Journal of the American Ceramic …, 2010",Wiley Online Library,"… 3 are responsible for its temperature stability. The Curie temperature (T c ) of barium titanate
is approximately 125C. The increase of the Curie temperature is required to satisfy the X8R …",29
Effect of hydrostatic pressure on the ferroelectric Curie temperatures of KH2PO4 and KD2PO4,https://www.sciencedirect.com/science/article/abs/pii/0038109867900725,"H Umebayashi, BC Frazer, G Shirane…","Solid State …, 1967",Elsevier,"… of the Curie temperature at atmospheric presable direct way from the original Slater hydro- …
a neutron diffraction study of Curie point shifts with The Curie temperature T8 was deter4work …",49
Effect of pressure on the Curie temperature of polycrystalline ceramic barium titanate,https://journals.aps.org/pr/abstract/10.1103/PhysRev.105.57,"H Jaffe, D Berlincourt, JM McKee","Physical Review, 1957",APS,"… to the polar axis of the crystal caused a quadratic increase of the Curie point expressed by
3.0X10 ""'C/(newton/m')' Sawaguchi' has, however, pointed out that a linear term in the Curie …",40
"Enhancement of the Curie temperature of ferromagnetic semiconductor (Ga, Mn) As",https://link.springer.com/article/10.1007/s11433-012-4959-3,"HL Wang, L Chen, JH Zhao","Science China Physics, Mechanics and …, 2013",Springer,"In this review article, we review the progress made in the past several years mainly regarding
the efforts devoted to increasing the Curie temperature (T C ) of (Ga,Mn)As, which is most …",23
Curie temperature and lattice constant reference contours for synthetic titanomaghemites,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/JB086iB02p00987,"CM Keefer, PN Shive","Journal of Geophysical Research: Solid …, 1981",Wiley Online Library,"… X ray diffraction patterns, Fe-Ti ratios from X ray fluorescence, and Curie temperature data
… Curie point, respectively. Pilot runs on known substances indicated that Curie temperatures …",39
Enhancement of the Curie Temperature along the Perovskite Series RCu3Mn4O12 Driven by Chemical Pressure of R3+ Cations (R = Rare Earths),https://pubs.acs.org/doi/abs/10.1021/ic100699u,J Sanchez,"Benitez, JA Alonso…","Inorganic …, 2010","… The electron injection effect upon replacement of Ca 2+ with R 3+ cations in the parent CaCu
3 Mn 4 O 12 oxide leads to a substantial increment of the ferrimagnetic Curie temperature (…",38
New morphological transition at the Curie temperature,https://link.springer.com/content/pdf/10.1038/292196a0.pdf,MS Dresselhaus,"Nature, 1981",Springer,"… of a convenient temperature range (300<T<440 K) and a Curie temperature controllable
by dilution of the nickel with copper (which does not react with CO in this temperature range). …",10
Volume effect on the Curie temperature of Dy2Fe17-yAly compounds,https://iopscience.iop.org/article/10.1088/0305-4608/15/2/018/meta,RJ Radwanski,"Journal of Physics F: Metal Physics, 1985",iopscience.iop.org,"… The Curie temperature of the Dy2Fe17-,Al, series has been … We have shown that the Curie
temperature of all heavy-rare-earth… As the Curie temperature in these compounds is governed …",13
Magnetic moment and Curie temperature for amorphous Fe100− XGdX alloys (18≦ X≦ 60),https://www.sciencedirect.com/science/article/pii/S0304885300001979,"K Yano, Y Akiyama, K Tokumitsu, E Kita…","Journal of Magnetism and …, 2000",Elsevier,"… in the Curie temperature and the crystallization temperature from … The temperature dependence
of magnetization was … and to determine the Curie temperature. The magnetic moment of …",28
Enhanced insulating and piezoelectric properties of BiFeO3‐BaTiO3‐Bi0.5Na0.5TiO3 ceramics with high Curie temperature,https://ceramics.onlinelibrary.wiley.com/doi/abs/10.1111/jace.16602,"S Cheng, BP Zhang, L Zhao…","Journal of the American …, 2019",Wiley Online Library,"BiFeO 3 ‐BaTiO 3 ceramics are promising lead‐free piezoelectric ceramics due to their high
piezoelectric properties and high Curie temperature, but their high leakage current density …",30
High Curie temperature and perpendicular magnetic anisotropy in homoepitaxial InMnAs films,https://iopscience.iop.org/article/10.1088/0022-3727/48/23/235002/meta,"Y Yuan, Y Wang, K Gao, M Khalid, C Wu…","Journal of Physics D …, 2015",iopscience.iop.org,"… The Curie temperature and magnetization of In 1−x Mn x As … Curie temperature monotonically
increases from 14 to 77 K when x is from 0.019 to 0.069. However, the Curie temperature …",23
"Effects of Ca doping on the Curie temperature, structural, dielectric, and elastic properties of
perovskites",https://aip.scitation.org/doi/abs/10.1063/1.2112175,"RK Zheng, J Wang, XG Tang, Y Wang…","Journal of applied …, 2005",aip.scitation.org,"… effect on the structure, Curie temperature, and dielectric and … doping on the structure, Curie
temperature, and dielectric and … , Curie temperature, and dielectric and elastic constants. …",43
Magnetization characteristics and Curie temperature of Y/Fe and Tb/Fe multilayers,https://www.sciencedirect.com/science/article/abs/pii/0304885394904618,"S Honda, M Nawate","Journal of magnetism and magnetic materials, 1994",Elsevier,"… In addition, we present the theoretical calculation on the Curie temperature and the … This
figure shows that the Curie temperature T c decreases with increasing /Fe"" From these data, we …",57
Curie temperatures of dilute magnetic semiconductors from LDA+ U electronic structure calculations,https://www.sciencedirect.com/science/article/pii/S0921452605015498,"K Sato, PH Dederichs, H Katayama",Yoshida,"Physica B: Condensed …, 2006","… concentration dependence of Curie temperature very well. In (Ga, Mn)N, unoccupied d states
are predicted at higher energy by LDA + U , resulting in higher Curie temperatures than in …",39
"Two-dimensional Weyl nodal-line semimetal in a
ferromagnetic
monolayer with a high Curie temperature",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.102.125118,"L Jin, X Zhang, Y Liu, X Dai, X Shen, L Wang, G Liu","Physical Review B, 2020",APS,"… Below the Curie temperature, the magnetic polarons that arise … The Curie temperature, which
determines the thermal … simulation to estimate the Curie temperature of the K2N monolayer. …",58
"doped with Mn, Fe or Co: Room temperature dilute magnetic semiconductors",https://aip.scitation.org/doi/abs/10.1063/1.1676026,"CB Fitzgerald, M Venkatesan, AP Douvalis…","Journal of applied …, 2004",aip.scitation.org,"… SnMn2O4 or Mn3O4 with Curie temperatures in the range … Curie temperatures were found
to be 340 and 360 K for the Mn and Fe samples, respectively. In all cases, Curie temperatures …",224
Bistable FeCoMoB microwires with nanocrystalline microstructure and increased Curie temperature,https://iopscience.iop.org/article/10.1088/0022-3727/43/4/045002/meta,"P Klein, R Varga, P Vojtanik, J Kovac…","Journal of Physics D …, 2010",iopscience.iop.org,"… high magnetization and Curie temperature brought about … microwires with enhanced
Curie temperature based on … with high magnetization and Curie temperature, together with …",29
A procedure to obtain the parameters of Curie temperature distribution from thermomagnetic and magnetocaloric data,https://www.sciencedirect.com/science/article/pii/S0022309319303254,AF Manchón,"Gordón, LM Moreno",Ramírez…,"… of the parameters of the Curie temperature distribution (TCD) in a … temperature at maximum
magnetic entropy change curves, T pk MCE , shift to lower temperatures and b) temperature …",12
Enthalpy and Curie temperature relaxation effects in FeSiB–CuNb alloys prepared at different quenching rates,https://www.sciencedirect.com/science/article/pii/S0167577X00001130,"JS Blázquez, S Lozano","Pérez, A Conde","Materials Letters, 2000","… Structural relaxation in FeSiB–CuNb alloys is studied from enthalpic and Curie temperature
effects. Enthalpy release and Curie temperature changes can be fitted to an exponential …",23
Magnetic anisotropy of uniaxial ferromagnets near the Curie temperature,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.102.174436,"P Riego, L Fallarino, C Martínez","Oliver, A Berger","Physical Review B, 2020","… Curie temperature TC , which is incompatible with the conventional description of anisotropy
via temperature-… of magnetic anisotropy at all temperatures, we derive an improved, but still …",5
"Magnetic moments and curie temperatures of (Fe, Ni)80(P, B)20amorphous alloys",https://ieeexplore.ieee.org/abstract/document/1059499/,"J Becker, F Luborsky, JW Walter","IEEE Transactions on …, 1977",ieeexplore.ieee.org,"… the temperature was increased through its Curie temperature. … at room temperature to the
average room temperature M, for … of temperature from liquid nitrogen to the Curie temperature. …",67
Impact of polar nanoregions on the quadratic electro-optic effect in K0. 95Na0. 05Ta1− xNbxO3 crystals near the Curie temperature,https://iopscience.iop.org/article/10.7567/APEX.7.062601/meta,"H Tian, B Yao, C Hu, X Meng, Z Zhou","Applied Physics Express, 2014",iopscience.iop.org,"… the Curie temperature was investigated. Both the electro-optic coefficients| R 11| and| R 12|
decreased rapidly as the temperature increased beyond the Curie … the Curie temperature are …",25
Effect of Pressure on the Curie Temperature of CuCr2Se4-xBrx,https://journals.jps.jp/doi/abs/10.1143/JPSJ.52.1387,"T Kanomata, K Shirakawa, T Kaneko","Journal of the Physical …, 1983",journals.jps.jp,"… of the Curie temperature are … Curie temperature and the magnetization of the compounds
CuCr2Se4_,,Br,, (0.0__<_x§l.0). In this paper, the pressure eﬂ'ect on the Curie temperature …",13
"Ferromagnetic curie temperatures of iron solid solutions with germanium, silicon, molybdenum, and manganese",https://onlinelibrary.wiley.com/doi/abs/10.1002/pssb.19650110110,S Arajs,"physica status solidi (b), 1965",Wiley Online Library,"… Curie temperature (TF) (ss for solid solution) in regard to the germanium concentrat>ion.
These temperatures… Second, although t,he paramagnetic Curie temperatures of iron-germanium …",45
Solvothermal synthesis and Curie temperature of monodispersed barium titanate nanoparticles,https://www.sciencedirect.com/science/article/pii/S0254058410006851,"Y Mao, S Mao, ZG Ye, Z Xie, L Zheng","Materials Chemistry and Physics, 2010",Elsevier,"… temperature XRPD patterns of BaTiO 3 samples with various particles sizes: (a) 25 nm, (b)
50 nm, (c) 80 nm, (d) 200 nm and (e) 500 nm. (f) Curie temperature (… the Curie temperature of …",27
Enhanced electrical properties in KNN-based ternary ceramics with high Curie temperature,https://link.springer.com/article/10.1007/s10854-019-02824-6,"C Shi, J Ma, J Wu, K Chen, B Wu","Journal of Materials Science: Materials …, 2020",Springer,"… and relatively higher Curie temperature of KNNS-0.040(BNZ-BS) ceramic is beneficial for
broadening its application field, especially in high temperature working circumstance. …",7
"Two Rare‐Earth Molecular Ferroelectrics with High Curie Temperatures, Large Spontaneous Polarization, Switchable Second Harmonic Generation Effects, and …",https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202000188,"K Yang, CS Yang, XX Dong, YH Tan…","… A European Journal, 2020",Wiley Online Library,"… Smart multifunctional molecular ferroelectrics bearing high Curie temperatures and diverse
… on temperature verifies that compounds 1 and 2 experience high-temperature para-…",14
Strongly correlated molecular magnet with curie temperature above 60 K,https://www.sciencedirect.com/science/article/pii/S2590238520301892,"Y Huang, S Zhang, G Zhong, Y Hu, H Zhou, F Hu, C Li…","Matter, 2020",Elsevier,"… ferromagnet presents a Curie temperature T c of 60 K with a concomitant magnetodielectric
coupling and undergoes magnetic frustration at higher temperature through magnetic-field …",5
The Curie Temperature of the Two-Dimensional Quadratic Ising Ferromagnet with Mixed Spins of S=1/2 and S=1,https://journals.jps.jp/doi/abs/10.1143/jpsj.53.721,"T Iwashita, N Uryû","Journal of the Physical Society of Japan, 1984",journals.jps.jp,"… affects largely the Curie temperature of the anisotropic Heisenberg ferromagnet.1 6) … to
calculate the Curie temperature are derived from these relations. In §3, the Curie temperature is …",53
Engineering of the Curie temperature of epitaxial Sr1−xBaxTiO3 films via strain,https://aip.scitation.org/doi/abs/10.1063/1.4962853,"Y Dai, J Schubert, E Hollmann, G Mussler…","Journal of applied …, 2016",aip.scitation.org,"… between the Curie temperature and … Curie temperature is extracted from temperature-dependent
measurements of the dielectric response. The resulting shift of the Curie temperature …",13
"Curie point singularity in the temperature derivative of resistivity in (Ga, Mn) As",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.101.077201,"V Novák, K Olejník, J Wunderlich, M Cukr, K Výborný…","Physical Review Letters, 2008",APS,"… We observe a singularity in the temperature derivative d =dT of resistivity at the Curie point
… Within the critical region accessible in our experiments, the temperature dependence on the …",197
Structural phase transitions in nickel at the Curie temperature,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.46.745,"JC Hamilton, T Jach","Physical Review Letters, 1981",APS,"… of the Curie temperature. Reversible carbon segregation is observed on the same crystal
surfaces below the Curie point… eV per carbon atom in the heat of segregation at the Curie point. …",33
FMR IN NICKEL NEAR THE CURIE TEMPERATURE,https://jphyscol.journaldephysique.org/articles/jphyscol/abs/1971/01/jphyscol197132C1271/jphyscol197132C1271.html,"SM Bhagat, MS Rothstein","Le Journal de …, 1971",jphyscol.journaldephysique.org,"… with temperature and frequency independent parameters. At higher temperatures analysis
of … on FMR in metals show that at room temperature the shorter than those calculated by us …",23
"A thermodynamic study of the R2Fe14X; X= B, C at the Curie temperature",https://www.sciencedirect.com/science/article/abs/pii/030488539190799G,"F Luis, B Mate, C Pique, R Burriel, J Bartolome…","Journal of magnetism …, 1991",Elsevier,"… Curie temperature region by differential scanning calorimetry with the heat pulse technique.
The anomalous heat capacity have been deduced and the critical entropies analyzed. The …",13
High Curie temperature and large perpendicular magnetic anisotropy in two-dimensional half metallic OsI3 monolayer with quantum anomalous Hall effect,https://www.sciencedirect.com/science/article/pii/S2542529322002450,"X Fang, B Zhou, X Wang, W Mi","Materials Today Physics, 2022",Elsevier,"… The OsI 3 monolayer has two orbital orderings with low spin states, where the half-metallic
state is an Ising ferromagnet with a Curie temperature (T C ) of 208 K and a perpendicular …",1
Superparamagnetic Gadolinium Ferrite Nanoparticles with Controllable Curie Temperature–Cancer Theranostics for MR‐Imaging‐Guided Magneto‐Chemotherapy,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/ejic.201600706,"ND Thorat, RA Bohara, SAM Tofail…","European Journal of …, 2016",Wiley Online Library,"… Currently, most magnetic nanomaterials used in MFH are based on Fe 3 O 4 nanoparticles
with a high Curie temperature of T C ≈ 585 C (858.15 K).15 The temperature required for …",36
Exchange interactions and Curie temperatures in Cr-based alloys in the zinc blende structure: Volume-and composition-dependence from first-principles calculations,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.81.054446,"SK Bose, J Kudrnovský","Physical Review B, 2010",APS,"… interactions and Curie temperatures in Cr-… Curie temperature from the low- and high-temperature
sides of the ferromagnetic-paramagnetic transition. Estimates of the Curie temperature …",35
"Competing structural ordering tendencies in Heusler-type alloys with high Curie temperatures:
studied by first-principles calculations",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.82.214421,"A Dannenberg, M Siewert, ME Gruner, M Wuttig…","Physical Review B, 2010",APS,"… predict strong ferromagnetic coupling and high Curie temperatures between 770 and 925 K.
… Simultaneously, Zn leads to higher magnetic moments and Curie temperatures because of …",41
"Surface of magnetization, field, and temperature for nickel near its curie temperature",https://aip.scitation.org/doi/abs/10.1063/1.1709707,"JE Noakes, A Arrott","Journal of Applied Physics, 1967",aip.scitation.org,"… Curie temperature, the temperature dependence of the initial susceptibility above the Curie
temperature, … at the Curie temperature and at a number of nearby temperatures are obtained. …",26
"Magnetic anisotropy and ferromagnetic correlations above the Curie temperature in
single crystals",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.82.134446,"CD Cao, R Klingeler, H Vinzelberg, N Leps, W Löser…","Physical Review B, 2010",APS,"… single crystals below the Curie temperature TC =34 K. Temperature T and magnetic field
B-… in the T,B measurements even up to a temperature T 100 K. Below 50 K the ESR line starts …",23
Effects of multi-surface modification on Curie temperature of ferroelectric films,https://iopscience.iop.org/article/10.1088/0953-8984/11/34/310/meta,"XG Wang, SH Pan, GZ Yang","Journal of Physics: Condensed …, 1999",iopscience.iop.org,"… Curie temperature of ferroelectric films using the transverse Ising model. The general nonlinear
equations for Curie temperature of … The dependence of Curie temperature on the surface …",39
Increase of Curie temperature in EuO films by Fe doping,https://aip.scitation.org/doi/abs/10.1063/1.1653429,KY Ahn,"Applied Physics Letters, 1970",aip.scitation.org,"A large increase of ferromagnetic Curie temperature from 69.5 to ∼180K has been discovered
in EuO films by Fe doping. In films containing Fe up to 8% by weight, the structure is …",41
Appearance of superparamagnetic phase below Curie temperature in cobalt chromite nanoparticles,https://www.ingentaconnect.com/contentone/asp/nnl/2009/00000001/00000003/art00011,"L Kumar, P Mohanty, T Shripathi…","Nanoscience and …, 2009",ingentaconnect.com,"… Upon cooling, bulk cobalt chromite shows paramagnetic to long range ferrimagnetic
transition at Curie temperature (Tc) and to short range spiral ordering at Ts. We report for the first …",25
A new method for determining the Curie temperature from magnetocaloric measurements,https://ieeexplore.ieee.org/abstract/document/7419859/,LM Moreno,"Ramírez, JS Blázquez…","IEEE Magnetics …, 2016","… Abstract—A new method is proposed for determining the Curie temperature from … the Curie
temperature. The main advantages over other methods are that the obtained temperature is …",12
Composition dependence of the Curie temperatures of amorphous alloys,https://aip.scitation.org/doi/abs/10.1063/1.327946,FE Luborsky,"Journal of Applied Physics, 1980",aip.scitation.org,"… interpretation of the variation of the Curie temperature of amorphous ferromagnetic alloys is
… We therefore propose to use this localized model in an analysis of the Curie temperature of …",34
"Prediction of bipolar
and
monolayers with high Curie temperature and strong magnetocrystalline anisotropy",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.106.235401,"J Zhang, Y Wang, C Hua, S Yang, Y Liu, J Luo, T Liu…","Physical Review B, 2022",APS,"Recent studies have demonstrated that two-dimensional intrinsic magnetic materials with high
Curie temperature (T c) and large magnetic anisotropy energy (MAE) are highly desirable …",
Analysis of magnetocaloric effect of ball milled amorphous alloys: Demagnetizing factor and Curie temperature distribution,https://www.sciencedirect.com/science/article/pii/S0925838814025638,LM Moreno,"Ramírez, JJ Ipus, V Franco…","Journal of Alloys and …, 2015","… hysteresis, easily tunable Curie temperature (T C ), … Curie temperature distribution in the
former case [12]. In this work, the effects of the demagnetizing factor and a Curie temperature …",24
Magnetic susceptibility of high-Curie-temperature alloys near their melting point,https://www.sciencedirect.com/science/article/pii/S0921452600006177,"F Gaucherand, E Beaugnon","Physica B: Condensed Matter, 2001",Elsevier,"… transition temperature. As a first try, we have focused on Co alloys since Co has the highest
Curie temperature. In order to study the effect of high magnetic fields at high temperature on …",31
Electrical properties and Curie temperature of Li/Ce co-doped BaBi4Ti4O15–Bi4Ti3O12 intergrowth ceramics,https://www.sciencedirect.com/science/article/pii/S0272884221032004,"W Fan, X Jiang, C Chen, X Huang, X Nie, X Wang","Ceramics International, 2022",Elsevier,"… Curie temperature T c (<400 C), which limits its high-temperature applications [[1], [2], [3], [4]]…
Thus, it is imperative to develop novel piezoelectric ceramics with high temperature stability. …",6
Large piezoelectric constant of high-curie-temperature Pb (In1/2Nb1/2) O3–Pb (Mg1/3Nb2/3)–PbTiO3 ternary single crystal near morphotropic phase boundary,https://iopscience.iop.org/article/10.1143/JJAP.41.L1240/meta,"Y Hosono, Y Yamashita, H Sakamoto…","Japanese Journal of …, 2002",iopscience.iop.org,"… Single crystals, with high Curie temperature (T c), of the xPb (In 1/2 Nb 1/2) O 3–yPb (Mg
1/3 … was 0.8% at room temperature. The temperature dependence of the dielectric constant …",46
A regression-based model evaluation of the Curie temperature of transition-metal rare-earth compounds,https://iopscience.iop.org/article/10.1088/1742-6596/1290/1/012009/meta,"DN Nguyen, TL Pham, VC Nguyen…","Journal of Physics …, 2019",iopscience.iop.org,"… The Curie temperature (TC) of RT binary compounds consisting of 3d transitionmetal (T) …
Because of its relatively low Curie temperature (TC) of 586 K, its coercivity at high temperatures …",8
Ferromagnetic exchange interaction and Curie temperature of Mg1+ xFe2− 2xTixO4 (x= 0− 0.5) system,https://www.sciencedirect.com/science/article/pii/S0304885306018397,"T Shimizu, H Asano, M Matsui","Journal of magnetism and magnetic …, 2007",Elsevier,"… the inverse spinel structure and Curie temperature were evaluated, using Rietveld analysis
and fitting the susceptibility to molecular field theory. The Curie temperature estimated was in …",13
Giant magnetostriction behavior at the Curie temperature of single crystal,https://aip.scitation.org/doi/abs/10.1063/1.1688680,"M Han, DC Jiles, JE Snyder, TA Lograsso…","Journal of applied …, 2004",aip.scitation.org,"… temperature was found to be 259.5 K on cooling and 261.5 K on heating. The abrupt change
in strain and the temperature … At 265 K, which is just above the Curie temperature, a giant …",35
Enhancement in Curie temperature and reduction in magnetoresistance of Sr2 (Fe1− xNix) MoO6 (0≤ x≤ 0.15),https://www.sciencedirect.com/science/article/pii/S0925838807013734,"A Gaur, GD Varma, HK Singh","Journal of alloys and compounds, 2008",Elsevier,"… in Curie temperature is the key factor of this study. The inset shows the variation of the Curie
temperature … the role in the enhancement of Curie temperature along with increased anti-site …",16
Optimizing structure and electrical properties of high-Curie temperature PMN-PHT piezoelectric ceramics via tailoring sintering process,https://www.epjap.org/articles/epjap/abs/2016/06/ap160032/ap160032.html,"R Zhu, Y Yin, B Fang, Z Chen, S Zhang, J Ding…","The European Physical …, 2016",epjap.org,"Pseudo-ternary high-Curie temperature 0.15Pb(Mg 1/3 Nb 2/3 )O 3 -0.4PbHfO 3 -0.45PbTiO
3 (PMN-PHT) piezoelectric ceramics were prepared by the conventional ceramic …",24
Ferroelectric phase transition and electrical conduction mechanisms in high Curie-temperature PMN-PHT piezoelectric ceramics,https://www.sciencedirect.com/science/article/pii/S0272884217302468,"R Zhu, W Ji, B Fang, D Wu, Z Chen, J Ding, X Zhao…","Ceramics …, 2017",Elsevier,"… Curie-point (T C ) 0.15Pb(Mg 1/3 Nb 2/3 )O 3 −0.4PbHfO 3 −0.45PbTiO 3 (PMN-PHT)
piezoelectric ceramics were studied by the temperature … of the temperature dependent dielectric …",24
Enhanced Curie temperature and cooling efficiency in melt-extracted Gd50 (Co69. 25Fe4. 25Si13B13. 5) 50 microwires,https://www.sciencedirect.com/science/article/pii/S092583881730840X,"Y Bao, H Shen, D Xing, S Jiang, J Sun…","Journal of Alloys and …, 2017",Elsevier,"… We report enhancements of both Curie temperature and magnetic refrigerant capacity in Gd
… much broader working temperature range of ∼126 K and a higher Curie temperature of 170 …",17
Correlated variation of melting and Curie temperatures of nickel clusters,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.75.073413,"AN Andriotis, ZG Fthenakis, M Menon","Physical Review B, 2007",APS,"… Curie and melting inset temperatures for NiN clusters. The main graph shows the Curie
temperature TC… The experimental values of the Curie temperatures of the bulk Ni are indicated by …",20
Changes in lattice constant of Cr2O3 near the curie temperature,https://www.nature.com/articles/177286a0,S Greenwald,"Nature, 1956",nature.com,"IN 1951 a communication by me under this title was published in Nature 1 . It showed that
as Cr 2 O 3 was cooled through the antiferromagnetic transition region, the c-axis (hexagonal …",39
The effect of Ba/Sr ratio on the Curie temperature for ferroelectric barium strontium titanate ceramics,https://www.worldscientific.com/doi/abs/10.1142/S2010135X20500216,"HA Gatea, IS Naji","Journal of Advanced Dielectrics, 2020",World Scientific,"… Curie temperature is the temperature at which maximum dielectric constant occurs and beyond
this temperature … they can have linearly adjustable Curie temperature.BST belong to the (…",13
Enhancement of the Curie Temperature by Isomerization of Diarylethene (DAE) for an Organic−Inorganic Hybrid System:  Co4(OH)7(DAE)0.5·3H2O,https://pubs.acs.org/doi/abs/10.1021/ic061498u,"H Shimizu, M Okubo, A Nakamoto, M Enomoto…","Inorganic …, 2006",ACS Publications,"… the intercalated molecule on the Curie temperature, we have also investigated … Curie
temperatures are in the range between 7 and 8 K, while the last one shows the Curie temperature …",49
Paramagnetic Curie temperature is an arithmetic average of the interspin coupling constants,https://www.sciencedirect.com/science/article/abs/pii/0304885395900144,A Czachor,"Journal of magnetism and magnetic materials, 1995",Elsevier,"… The Curie temperature is then essentially the arithemetic … by the Curie temperature may
sometimes look less than it is in reality. … derivation of the Curie temperature tensor, for systems of …",19
Wavevector-dependent spin susceptibility of nickel above the Curie temperature,https://iopscience.iop.org/article/10.1088/0305-4608/14/5/019/meta,H Hasegawa,"Journal of Physics F: Metal Physics, 1984",iopscience.iop.org,"… interaction strength on the Curie temperature, we calculated Tc as … The U dependence of the
Curie temperature is shown in figure 2, … Figure 3 shows the temperature dependences of the …",33
Origin of large intrinsic flexoelectric coefficients near curie temperature of BaTiO3,https://www.sciencedirect.com/science/article/pii/S0272884220329047,"X Ke, Q Deng, S Yang","Ceramics International, 2021",Elsevier,"… Curie temperature … Curie temperatures. Here we employ a modified phenomenological
Landau theory to estimate the intrinsic flexoelectric coefficient of BaTiO 3 near Curie temperature. …",3
The change of ferromagnetic curie points with hydrostatic pressure,https://journals.aps.org/pr/abstract/10.1103/PhysRev.93.384,L Patrick,"Physical Review, 1954",APS,"… The effect of pressure on the Curie temperature has been measured … the change of Curie
point with pressure does give the slope at a single point. If in Co the Curie temperature rises to …",266
Electrical properties of NaNO2 single crystal in the vicinity of the ferroelectric curie temperature,https://www.jstage.jst.go.jp/article/jpsj1946/22/4/22_4_979/_article/-char/ja/,"Y Takagi, K Gesi","Journal of the Physical Society of Japan, 1967",jstage.jst.go.jp,"… , for instance, the temperature dependence of the long range … because of very narrow
temperature range of the sinusoidal … the Curie point measured under precise temperature control …",48
"Effect of annealing on carrier density and Curie temperature in epitaxial (Ga, Mn) As thin films",https://aip.scitation.org/doi/abs/10.1063/1.1566097,"BS Sørensen, PE Lindelof, J Sadowski…","Applied physics …, 2003",aip.scitation.org,"… We report a clear correspondence between changes in the Curie temperature and carrier
density upon annealing in epitaxially grown Ga,MnAs layers with thicknesses in the range …",49
"Piezoelectric properties of Fe2O3 doped BiYbO3-Pb (Zr, Ti) O3 high curie temperature ceramics",https://www.sciencedirect.com/science/article/pii/S0272884213013096,"L Shi, B Zhang, Q Liao, L Zhu, L Zhao, D Zhang…","Ceramics …, 2014",Elsevier,"… a high Curie temperature T … Curie temperature T c up to 350 C and good piezoelectric
properties with d 33 reaching 175 pC/N, indicating promising applications in the high-temperature …",33
Calorimetric method for the determination of Curie temperatures of magnetic nanoparticles in dispersion,https://iopscience.iop.org/article/10.1088/0953-8984/20/20/204115/meta,"V Nica, HM Sauer, J Embs…","Journal of Physics …, 2008",iopscience.iop.org,"… to actuate the Curie temperatures of the dispersed … Curie temperature of the samples under
investigation. For Mnx Zn1−xFe2O4-based magnetic nanoparticles the Curie temperatures …",21
